22
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21  
1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20  
2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19  
3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18  
4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17  
5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16  
6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15  
7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14  
8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13  
9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12  
10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11  
11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10  
12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9  
13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8  
14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7  
15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6  
16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5  
17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4  
18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3  
19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2  
20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1  
21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0  
