club,lat,long
Albirex Niigata,37.882686,139.059288
Avispa Fukuoka,33.585803,130.461066
Shimizu S-Pulse,34.975556,138.382778
Fagiano Okayama,34.680658,133.919631
Sanfrecce Hiroshima,34.440781,132.394287
Nagoya Grampus,35.084471,137.170891
Cerezo Osaka,34.614119,135.51845
Gamba Osaka,34.802808,135.538228
Kyoto Sanga FC,34.993496,135.714014
Vissel Kobe,34.656667,135.168889
Kashima Antlers,35.991744,140.640525
Kashiwa Reysol,35.8485,139.975149
Urawa Red Diamonds,35.903142,139.717492
FC Tokyo,35.664278,139.527139
Tokyo Verdy,35.664278,139.527139
FC Machida Zelvia,35.5925,139.438889
Kawasaki Frontale,35.585895,139.652731
Shonan Bellmare,35.343608,139.341263
Yokohama FC,35.470029,139.601528
Yokohama F. Marinos,35.510044,139.606247
